,Postal Code,Borough,Neighborhood
91,M2N,North York,"Willowdale, Willowdale East"
92,M3N,North York,Downsview
93,M4N,Central Toronto,Lawrence Park
94,M5N,Central Toronto,Roselawn
95,M6N,York,"Runnymede, The Junction North"
98,M9N,York,Weston
99,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
100,M2P,North York,York Mills West
102,M4P,Central Toronto,Davisville North
103,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
104,M6P,West Toronto,"High Park, The Junction South"
107,M9P,Etobicoke,Westmount
108,M1R,Scarborough,"Wexford, Maryvale"
109,M2R,North York,"Willowdale, Willowdale West"
111,M4R,Central Toronto,"North Toronto West,  Lawrence Park"
112,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
113,M6R,West Toronto,"Parkdale, Roncesvalles"
114,M7R,Mississauga,Canada Post Gateway Processing Centre
116,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
117,M1S,Scarborough,Agincourt
120,M4S,Central Toronto,Davisville
121,M5S,Downtown Toronto,"University of Toronto, Harbord"
122,M6S,West Toronto,"Runnymede, Swansea"
126,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
129,M4T,Central Toronto,"Moore Park, Summerhill East"
130,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
135,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
138,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
139,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
143,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
144,M1W,Scarborough,"Steeles West, L'Amoreaux West"
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes
151,M8W,Etobicoke,"Alderwood, Long Branch"
152,M9W,Etobicoke,"Northwest, West Humber - Clairville"
153,M1X,Scarborough,Upper Rouge
156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
157,M5X,Downtown Toronto,"First Canadian Place, Underground city"
160,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
165,M4Y,Downtown Toronto,Church and Wellesley
168,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
169,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
178,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
